AccountId,BookId,CreationDate
15548,9819,2022-01-02T03:56:32.8350904
10982,87139,2022-01-02T03:56:34.7850947
10982,87138,2022-01-02T03:56:37.8441603
10982,88465,2022-01-02T03:56:39.9416462
33041,68008,2022-01-02T03:56:41.3399476
10982,87848,2022-01-02T03:56:42.3063745
33041,67741,2022-01-02T03:57:00.8244763
91769,87376,2022-01-02T03:57:01.3465688
15548,2199,2022-01-02T03:57:43.8293149
48726,72185,2022-01-02T03:57:43.8313209
10982,103563,2022-01-02T03:57:44.793134
15548,93495,2022-01-02T03:58:07.5209065
36433,56132,2022-01-02T03:58:12.6475423
91769,83150,2022-01-02T03:58:16.2842318
36433,113526,2022-01-02T03:58:26.9948731
10982,69672,2022-01-02T03:58:31.824638
10982,103385,2022-01-02T03:58:34.8574258
91769,96423,2022-01-02T03:58:38.7749019
15548,54056,2022-01-02T03:58:47.0751043
10982,89980,2022-01-02T03:58:52.3644619
10982,76251,2022-01-02T03:58:58.9711543
10982,29851,2022-01-02T03:59:04.1961435
15548,94545,2022-01-02T03:59:10.414036
10982,112131,2022-01-02T03:59:11.3260325
10982,93577,2022-01-02T03:59:13.2671112
10982,93655,2022-01-02T03:59:16.8951799
69071,59380,2022-01-02T03:59:18.0954542
10982,83860,2022-01-02T03:59:19.7712738
10982,68667,2022-01-02T03:59:22.5226742
10982,63850,2022-01-02T03:59:24.7364374
15548,1179,2022-01-02T03:59:25.6563861
