book_id,title,description,price,number_of_page,PhysicalPrice,publishDate,rating,publisher,categories,author_name,translator_name,lang
100,هفت گام برای شروع موفق یک کسب و کار,"داشتن کسب‌وکاری مستقل، برای بسیاری به‌ویژه جوانان، رویا و آرزویی دست‌نیافتنی است؛ زیرا آنها نمی‌دانند که از کجا باید بیاغازند، چه مسیری را باید بپیمایند و چه خطرهایی در این راه، پیش پای آنها خواهد بود. هرچند کتاب‌های بسیاری در بازار وجود دارند که نگاشته شده‌اند تا جویندگان را در این مسیر راه بنمایند، اما اکثر آنها مجموعه‌ای از رویاپردازی‌ها، بایدها و نبایدهای کلی هستند و کمتر راهکارهای کاربردی را با زبان و بیانی ساده و به دور از رویاپردازی‌ و جاه‌طلبی‌ ارائه می‌کنند.
کتاب «هفت گام برای شروع موفق یک کسب‌وکار» از آن دسته کتاب‌هایی است که ابتدا می‌کوشند شناختی مناسب از فرد به او بدهند تا بداند که آیا ذاتا یک کارآفرین هست یا نه و سپس گام به گام، او را در شکستن دیوار محدودیت‌های ذهنی و آنگاه محدودیت‌های دنیای بیرونی یاری ‌دهند.",2000,76,0,1390/05/01,2.6,انتشارات سازمان مدیریت صنعتی,مدیریت و کسب و کار,نعیم ظفر,محسن؛ سحر حاجیانی؛ بحریه,En
104,صدف نبوت 4,مجموعه اشعار مناسبت های ایام فاطمیه ،ماه های جمادی الاول و جمادی الثانی,5000,128,0,1390/01/14,5,هلال,شعر کهن,غلامرضا سازگار,جواد زهتاب,En
107,مرآت ولایت ۲,"مجموعه شعر آیینی- شیعی مرآت ولایت نوشته غلامرضا سازگار در موسسه فرهنگی هلال منتشر شده است.
این مجموعه شامل اشعار و نوحه‌هایی در مدح و منقبت امامان معصوم (ع) و بزرگان دینی به مناسبت‌های مختلف تولد و شهادت ایشان است. 
خواندن مجموعه کتاب‌های منظومه‌ی مرآت ولایت را به چه کسانی پیشنهاد می‌کنیم
علاقه‌مندان به شعر مذهبی و کسانی که دوست دارند در مدح و رثای بزرگان دین مداحی کنند، می‌توانند از اشعار این کتاب‌ها بهره‌مند شوند.",5000,193,0,1388/03/02,5,موسسه هلال,کلیات اسلام,غلامرضا سازگار,مسعود اسماعیلی,En
108,مرآت ولایت ۳,"مجموعه شعر آیینی- شیعی مرآت ولایت نوشته غلامرضا سازگار در موسسه فرهنگی هلال منتشر شده است.
این مجموعه شامل اشعار و نوحه‌هایی در مدح و منقبت امامان معصوم (ع) و بزرگان دینی به مناسبت‌های مختلف تولد و شهادت ایشان است.
خواندن مجموعه کتاب‌های منظومه‌ی مرآت ولایت را به چه کسانی پیشنهاد می‌کنیم
علاقه‌مندان به شعر مذهبی و کسانی که دوست دارند در مدح و رثای بزرگان دین مداحی کنند، می‌توانند از اشعار این کتاب‌ها بهره‌مند شوند.",5000,203,0,1389/02/11,5,موسسه هلال,شعر معاصر,غلامرضا سازگار,محمّدسعید میرزایی,En
109,مرآت ولایت ۴,"مجموعه شعر آیینی- شیعی مرآت ولایت نوشته غلامرضا سازگار در موسسه فرهنگی هلال منتشر شده است.
این مجموعه شامل اشعار و نوحه‌هایی در مدح و منقبت امامان معصوم (ع) و بزرگان دینی به مناسبت‌های مختلف تولد و شهادت ایشان است.
خواندن مجموعه کتاب‌های منظومه‌ی مرآت ولایت را به چه کسانی پیشنهاد می‌کنیم
علاقه‌مندان به شعر مذهبی و کسانی که دوست دارند در مدح و رثای بزرگان دین مداحی کنند، می‌توانند از اشعار این کتاب‌ها بهره‌مند شوند.",5000,192,0,1390/01/25,5,موسسه هلال,شعر معاصر,غلامرضا سازگار,محمّدسعید میرزایی,En
110,مرآت ولایت ۵,"مجموعه شعر آیینی- شیعی مرآت ولایت نوشته غلامرضا سازگار در موسسه فرهنگی هلال منتشر شده است.
این مجموعه شامل اشعار و نوحه‌هایی در مدح و منقبت امامان معصوم (ع) و بزرگان دینی به مناسبت‌های مختلف تولد و شهادت ایشان است.
خواندن مجموعه کتاب‌های منظومه‌ی مرآت ولایت را به چه کسانی پیشنهاد می‌کنیم
علاقه‌مندان به شعر مذهبی و کسانی که دوست دارند در مدح و رثای بزرگان دین مداحی کنند، می‌توانند از اشعار این کتاب‌ها بهره‌مند شوند.",5000,180,0,1391/01/20,5,موسسه هلال,شعر معاصر,غلامرضا سازگار,جواد زهتاب,En
112,یک ماه خون گرفته ۵,"مجموعه شعر آیینی- شیعی یک ماه خون گرفته نوشته غلامرضا سازگار و جواد زهتاب در موسسه فرهنگی هلال منتشر شده است.
این مجموعه شامل اشعار و نوحه‌هایی برای مناسبات مذهبی شیعی در ماه محرم و صفر و ایام شهادت امامان معصوم است. اشعاری در مدح و منقبت امام حسین، هفتاد و دو یار او، حضرت مسلم، حضرت عباس، شب‌های تاسوعا و عاشورا، شام غریبان و مصائب کوفه و شهادت حضرت سجاد (ع) و در نهایت اربعین امام حسین (ع). در کنار این اشعار، نوحه‌هایی هم در رثای پیامبر (ص)، امام حسن مجتبی (ع)، امام‌رضا، حضرت زهرا (س) و دیگر معصومان در این مجموعه‌ها وجود دارد.
خواندن مجموعه کتاب‌های یک ماه خون گرفته را به چه کسانی پیشنهاد می‌کنیم
علاقه‌مندان به شعر مذهبی و کسانی که دوست دارند در رثای بزرگان دین مداحی کنند، می‌توانند از اشعار این کتاب‌ها بهره‌مند شوند.",5000,311,0,1390/07/02,5,موسسه هلال,شعر معاصر,غلامرضا سازگار,جواد زهتاب,En
113,یک ماه خون گرفته ۴,مجموعه اشعار مناسبت های ماه محرم و صفر,5000,341,0,1389/07/01,5,هلال,شعر,غلامرضا سازگار,محمّدسعید میرزایی,En
114,بهار امامت ۴,مجموعه اشعار مدح و مراثی ویژه ربیعین,5000,95,0,1390/10/14,5,هلال,شعر,غلامرضا سازگار,محمّدسعید میرزایی,En
115,بهار امامت ۳,مجموعه اشعار مدح و مراثی ویژه ربیعین,5000,126,0,1389/10/26,5,هلال,شعر,غلامرضا سازگار,محمّدسعید میرزایی,En
116,بهار امامت ۲,مجموعه اشعار مدح و مراثی ویژه ربیعین,5000,141,0,1388/11/04,5,هلال,شعر,غلامرضا سازگار,محمّدسعید میرزایی,En
117,از صیام تا قیام ۵,مجموعه اشعار مناسبت های ماه رمضان تا ماه محرم,5000,208,0,1391/04/16,5,هلال,شعر,غلامرضا سازگار,جواد زهتاب,En
118,از صیام تا قیام ۴,مجموعه اشعار مناسبت های ماه رمضان تا ماه محرم,5000,224,0,1390/04/10,5,هلال,شعر,غلامرضا سازگار,جواد زهتاب,En
119,از صیام تا قیام ۳,مجموعه اشعار مناسبت های ماه رمضان تا ماه محرم,5000,217,0,1389/04/01,5,هلال,مذهب,غلامرضا سازگار,محمّدسعید میرزایی,En
120,بهار امامت ۵,مجموعه اشعار مدح و مراثی ویژه ربیعین,5000,90,0,1392/10/15,5,هلال,شعر,غلامرضا سازگار,,Fa
121,یک کربلا عطش,مجموعه اشعار ویژه محرم و صفر,5000,347,0,1389/01/01,4.5,هلال,کلیات اسلام,ناهید رضاعلی,سیدرضا موید,En
122,یک ماه خون گرفته ۲,مجموعه اشعار مناسبت های ماه محرم و صفر,5000,300,0,1387/09/17,4.75,هلال,مذهب,غلامرضا سازگار,ناهید رضاعلی,En
123,از صیام تا قیام ۲,مجموعه اشعار مناسبت های ماه رمضان تا ماه محرم,5000,242,0,1388/04/12,4.5,هلال,مذهب,غلامرضا سازگار,محمّدسعید میرزایی,En
130,جاده بهشتیان,طول ستونی که در دل تاریکی از گردنه به پایین سرازیر شده بود، به یک کیلومتر میرسید. سنگینی تفنگ و تجهیزات انفرادی، همه راکلافه کرده بود. بچه ها گهگاه در دل تاریکی شب، سرشان را بلند میکردند و به قله ی بلند «گمو »که در برابرشان قد علم کرده بود، چشم میدوختند؛ درحالیکه عراقیها، از نوک این قله ی مرتفع، تمام منطقه را زیر نظر داشتند. فرماندهان با شناختی که از وضعیت منطقه داشتند، تلاش میکردند با پشت سر گذاشتن فراز و نشیب دامنه، هرچه زودتر به خط مقدم دشمن برسند. خستگی از سر و روی افراد میبارید. بعضیها در آن هوای سرد، عرق کرده بودند و بدشان نمی آمدکه ولو برای چند دقیقه، استراحتی کنند.,6200,112,14000,1390/10/01,4,عماد فردا,دفاع مقدس,نصرت الله محمودزاده,عباس ظهیری,En
